MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM,배포처
서울특별시,11,영등포구,11560,193023,447431,한세실업(주),biz-gis.com
충청남도,44,천안시 동남구,44131,214297,368735,디에스디삼호(주),biz-gis.com
서울특별시,11,서초구,11650,198507,441617,(주)대교,biz-gis.com
경기도,41,평택시,41220,197458,394678,한국니토옵티칼(주),biz-gis.com
서울특별시,11,중구,11140,198298,451195,고려해운(주),biz-gis.com
경기도,41,이천시,41500,236914,422099,콘티넨탈오토모티브시스템(주),biz-gis.com
경상북도,47,구미시,47190,323566,291527,일본전기초자한국(주),biz-gis.com
서울특별시,11,영등포구,11560,192800,447287,대한주택보증(주),biz-gis.com
울산광역시,31,남구,31140,411458,224295,동서석유화학(주),biz-gis.com
서울특별시,11,중구,11140,197547,450918,(주)에스원,biz-gis.com
부산광역시,26,동구,26170,386556,182971,우리아비바생명보험(주),biz-gis.com
경기도,41,용인시 처인구,41461,218633,418411,(주)휴맥스,biz-gis.com
대전광역시,30,대덕구,30230,238410,326031,(주)한국인삼공사,biz-gis.com
경기도,41,성남시 분당구,41135,209252,427984,한전케이피에스(주),biz-gis.com
경기도,41,시흥시,41390,174678,427813,희성촉매(주),biz-gis.com
서울특별시,11,금천구,11545,190651,441604,서울반도체(주),biz-gis.com
서울특별시,11,중구,11140,198072,450814,삼부토건(주),biz-gis.com
경기도,41,파주시,41480,180597,484824,파주전기초자(주),biz-gis.com
경기도,41,이천시,41500,243115,416791,현대엘리베이터(주),biz-gis.com
경기도,41,성남시 분당구,41135,209376,427522,(주)카길애그리퓨리나,biz-gis.com
경상북도,47,포항시 남구,47111,414902,278616,(주)포스코아이씨티,biz-gis.com
충청북도,43,청원군,43710,227325,348122,(주)유라코퍼레이션,biz-gis.com
서울특별시,11,강남구,11680,205764,444476,(주)에스에이엠티,biz-gis.com
서울특별시,11,중구,11140,198232,451806,(주)케이알앤씨,biz-gis.com
경기도,41,수원시 영통구,41117,205742,418202,삼성전자서비스(주),biz-gis.com
서울특별시,11,강남구,11680,205923,444380,롯데상사(주),biz-gis.com
서울특별시,11,영등포구,11560,190120,446513,(주)지에스홈쇼핑,biz-gis.com
부산광역시,26,사하구,26380,378589,178225,대한제강(주),biz-gis.com
충청남도,44,당진군,44830,180456,383978,지에스이피에스(주),biz-gis.com
서울특별시,11,강남구,11680,204764,446745,아우디폭스바겐코리아(주),biz-gis.com
서울특별시,11,강서구,11500,183388,451317,(주)공항석유상사,biz-gis.com
경기도,41,시흥시,41390,174678,427813,(주)대창,biz-gis.com
경기도,41,파주시,41480,172393,468571,(주)웅진씽크빅,biz-gis.com
경기도,41,용인시 기흥구,41463,208858,423958,(주)녹십자,biz-gis.com
서울특별시,11,강남구,11680,204264,444621,세방전지(주),biz-gis.com
충청남도,44,공주시,44150,196805,338893,극동건설(주),biz-gis.com
경기도,41,군포시,41410,195534,429031,가온전선(주),biz-gis.com
경상남도,48,창원시 성산구,48123,346458,191408,현대비앤지스틸(주),biz-gis.com
서울특별시,11,구로구,11530,190396,443975,애경유화(주),biz-gis.com
인천광역시,28,연수구,28185,168853,431831,(주)경신,biz-gis.com
대구광역시,27,중구,27110,342659,263122,대성에너지(주),biz-gis.com
경기도,41,안양시 동안구,41173,195260,430043,엘에스글로벌인코퍼레이티드(주),biz-gis.com
부산광역시,26,기장군,26710,399357,204808,(주)성우하이텍,biz-gis.com
충청남도,44,천안시 서북구,44133,210800,373729,세메스(주),biz-gis.com
경기도,41,안산시 단원구,41273,182153,421800,에스티엑스에너지(주),biz-gis.com
서울특별시,11,중구,11140,196752,450122,(주)영원무역,biz-gis.com
서울특별시,11,노원구,11350,205212,460113,(주)대륜이엔에스,biz-gis.com
경상북도,47,포항시 남구,47111,417841,280664,(주)포스코켐텍,biz-gis.com
경기도,41,성남시 분당구,41135,210139,430916,(주)포스코엔지니어링,biz-gis.com
서울특별시,11,강남구,11680,205543,444983,(주)삼탄,biz-gis.com
서울특별시,11,서초구,11650,199425,442659,한성자동차(주),biz-gis.com
서울특별시,11,영등포구,11560,193729,446874,(주)문화방송,biz-gis.com
전라북도,45,전주시 덕진구,45113,208821,260921,(주)전주페이퍼,biz-gis.com
경기도,41,용인시 처인구,41461,222264,419910,엠케이전자(주),biz-gis.com
서울특별시,11,중구,11140,197813,450455,피에스앤마케팅(주),biz-gis.com
