MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권,배포처
충청남도,44,4473,연기군,338450,437450,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4473,연기군,329850,444050,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4180,연천군,305250,600050,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4180,연천군,314350,599150,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4180,연천군,321950,603650,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4687,영광군,261450,296450,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4687,영광군,250750,296750,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4687,영광군,266650,291150,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4687,영광군,264250,290850,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4777,영덕군,521650,413050,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4777,영덕군,516950,423050,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4777,영덕군,507050,432250,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4374,영동군,373650,397950,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4374,영동군,384550,394350,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4374,영동군,371750,388750,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4683,영암군,281650,244850,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4683,영암군,269250,237350,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4776,영양군,500950,456250,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4776,영양군,493550,447050,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4776,영양군,495350,449050,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
