,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O
11320,서울특별시,11,마포구,11440,303350,550750,38.07172,0.0,4.8805,14.11578,11.55364,7.08633,0.43547,0.0,0.0
11321,서울특별시,11,서초구,11650,311550,544250,263.65461,0.0,108.41873,101.02654,34.49685,14.78437,0.0,2.46406,2.46406
11322,서울특별시,11,강북구,11305,313450,559650,107.23353,0.0,10.04975,49.40976,16.3394,19.16706,10.04975,2.21781,0.0
11323,서울특별시,11,중구,11140,312550,551250,21.99373,0.0,6.2268,7.3122,4.39874,2.17085,1.37102,0.45701,0.05711
11324,서울특별시,11,마포구,11440,304050,551350,50.74924,0.0,5.77963,18.43712,17.1417,5.05681,4.33398,0.0,0.0
11325,서울특별시,11,강남구,11680,316450,545150,1465.83791,0.05218,461.24769,631.10045,241.03067,103.50615,27.08868,1.786,0.02609
11326,서울특별시,11,광진구,11215,319950,549950,48.14635,0.0,18.34147,22.92683,2.29268,4.58537,0.0,0.0,0.0
11327,서울특별시,11,동대문구,11230,317350,551750,75.14881,0.0,0.0,13.66342,40.99026,20.49513,0.0,0.0,0.0
11328,서울특별시,11,구로구,11530,298550,545350,34.26045,0.00329,4.51966,9.10178,12.92238,5.64825,2.05012,0.01405,0.00092
11329,서울특별시,11,강남구,11680,322150,541150,8.98772,0.0,2.24693,2.24693,2.24693,0.0,2.24693,0.0,0.0
11330,서울특별시,11,성동구,11200,313750,549950,122.63968,0.11316,28.12197,33.92278,27.48801,21.10034,7.31712,2.28815,2.28815
