,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
5058,서울특별시,11,1135,노원구,318450,560450,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5059,서울특별시,11,1132,도봉구,316250,562050,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
5060,서울특별시,11,1165,서초구,313550,545850,125,0,25,0,0,0,0,0,75,25,0,GIS United INC.
5061,서울특별시,11,1121,광진구,318650,551050,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
5062,서울특별시,11,1165,서초구,313850,544650,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5063,서울특별시,11,1168,강남구,314650,547050,75,0,0,0,0,0,0,0,75,0,0,GIS United INC.
5064,서울특별시,11,1138,은평구,304750,559950,100,0,0,0,25,0,0,0,75,0,0,GIS United INC.
5065,서울특별시,11,1168,강남구,316250,545050,150,0,0,0,50,0,0,0,75,25,0,GIS United INC.
5066,서울특별시,11,1168,강남구,314150,547050,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5067,서울특별시,11,1153,구로구,298150,544450,100,0,0,0,0,0,0,0,75,25,0,GIS United INC.
5068,서울특별시,11,1126,중랑구,318850,557450,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
5069,서울특별시,11,1144,마포구,305850,550950,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5070,서울특별시,11,1141,서대문구,306850,554750,250,0,0,0,50,0,0,0,175,25,0,GIS United INC.
5071,서울특별시,11,1168,강남구,319850,543750,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
5072,서울특별시,11,1135,노원구,318550,560050,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
5073,서울특별시,11,1168,강남구,315850,544050,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
5074,서울특별시,11,1129,성북구,314150,556250,75,0,0,0,0,0,0,0,25,50,0,GIS United INC.
5075,서울특별시,11,1171,송파구,321250,544750,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5076,서울특별시,11,1174,강동구,323850,547650,225,0,0,0,25,0,0,0,150,50,0,GIS United INC.
5077,서울특별시,11,1168,강남구,316950,545650,150,0,0,0,50,0,0,0,50,50,0,GIS United INC.
5078,서울특별시,11,1117,용산구,309650,546750,125,0,0,0,50,0,0,0,50,25,0,GIS United INC.
5079,서울특별시,11,1130,강북구,314150,558750,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5080,서울특별시,11,1111,종로구,309650,552450,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5081,서울특별시,11,1147,양천구,300550,547550,150,0,0,0,50,0,0,0,75,25,0,GIS United INC.
5082,서울특별시,11,1138,은평구,305450,556050,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5083,서울특별시,11,1156,영등포구,303350,547050,200,0,0,0,0,0,0,0,175,25,0,GIS United INC.
5084,서울특별시,11,1153,구로구,302150,543550,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5085,서울특별시,11,1135,노원구,318950,563250,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5086,서울특별시,11,1135,노원구,318750,561250,175,0,0,0,25,0,0,0,100,50,0,GIS United INC.
5087,서울특별시,11,1129,성북구,316950,556850,75,0,0,0,0,0,0,0,25,50,0,GIS United INC.
5088,서울특별시,11,1123,동대문구,315850,553550,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
5089,서울특별시,11,1171,송파구,322450,544050,100,0,0,0,0,0,0,0,75,25,0,GIS United INC.
5090,서울특별시,11,1165,서초구,313050,543750,50,0,25,0,0,0,0,0,25,0,0,GIS United INC.
5091,서울특별시,11,1168,강남구,314450,546250,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5092,서울특별시,11,1168,강남구,315550,546050,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5093,서울특별시,11,1130,강북구,314250,558550,125,0,0,0,0,0,50,0,25,50,0,GIS United INC.
5094,서울특별시,11,1129,성북구,313350,554950,225,0,0,0,25,0,0,0,125,75,0,GIS United INC.
5095,서울특별시,11,1168,강남구,316150,546950,175,0,0,0,25,0,0,0,100,50,0,GIS United INC.
5096,서울특별시,11,1165,서초구,313050,542950,125,0,0,0,25,0,0,0,50,50,0,GIS United INC.
5097,서울특별시,11,1154,금천구,303350,540250,175,0,0,0,0,0,0,0,125,50,0,GIS United INC.
5098,서울특별시,11,1114,중구,312650,550450,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5099,서울특별시,11,1132,도봉구,316450,561550,200,0,0,0,50,0,0,0,75,75,0,GIS United INC.
5100,서울특별시,11,1168,강남구,314250,547650,125,0,0,0,0,0,0,0,100,25,0,GIS United INC.
5101,서울특별시,11,1147,양천구,299850,548450,125,0,0,0,0,0,0,0,100,25,0,GIS United INC.
