,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HO_CNT,PY_SUM,PR_SUM,PY_10U,PY_10,PY_20,PY_30,PY_40,PY_50O,PR_05U,PR_05,PR_1,PR_2,PR_3,PR_4,PR_5,PR_6,PR_7_O
4958,서울특별시,11,서대문구,11410,306050,552750,22,596.0,4106000000.0,6,6,3,1,0,6,3,7,6,0,1,5,0,0,0
4959,서울특별시,11,서초구,11650,314650,542250,8,605.0,13032000000.0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
4960,서울특별시,11,송파구,11710,320450,544850,6,101.0,1004000000.0,0,5,1,0,0,0,0,0,5,1,0,0,0,0,0
4961,서울특별시,11,양천구,11470,300050,548750,25,395.0,2419000000.0,0,17,8,0,0,0,0,17,8,0,0,0,0,0,0
4962,서울특별시,11,용산구,11170,313050,548550,5,347.0,6984000000.0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
4963,서울특별시,11,중구,11140,313550,551550,16,343.0,2325000000.0,0,5,11,0,0,0,0,1,15,0,0,0,0,0,0
4964,서울특별시,11,중랑구,11260,319550,555450,8,116.0,684000000.0,1,7,0,0,0,0,1,7,0,0,0,0,0,0,0
4965,서울특별시,11,관악구,11620,304050,541850,17,286.0,1490000000.0,0,17,0,0,0,0,0,13,4,0,0,0,0,0,0
4966,서울특별시,11,광진구,11215,318150,549950,10,197.0,3470000000.0,0,5,5,0,0,0,0,0,0,0,10,0,0,0,0
4967,서울특별시,11,동대문구,11230,316950,554650,6,92.0,554000000.0,2,3,1,0,0,0,1,2,3,0,0,0,0,0,0
4968,서울특별시,11,동작구,11590,305450,545950,6,81.0,508000000.0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0
4969,서울특별시,11,용산구,11170,307850,548350,4,76.0,1030000000.0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0
4970,서울특별시,11,강북구,11305,314150,557450,8,118.0,893000000.0,1,6,1,0,0,0,1,1,6,0,0,0,0,0,0
4971,서울특별시,11,강동구,11740,323350,548550,2,65.0,469000000.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
4972,서울특별시,11,동대문구,11230,318250,551650,54,1339.0,12350000000.0,0,0,54,0,0,0,0,0,6,48,0,0,0,0,0
4973,서울특별시,11,강서구,11500,298550,551150,19,530.0,3130000000.0,0,0,16,2,1,0,0,0,16,2,1,0,0,0,0
4974,서울특별시,11,관악구,11620,306450,541650,10,172.0,830000000.0,0,10,0,0,0,0,1,9,0,0,0,0,0,0,0
4975,서울특별시,11,금천구,11545,303350,538950,5,55.0,365000000.0,2,3,0,0,0,0,1,3,1,0,0,0,0,0,0
4976,서울특별시,11,중랑구,11260,320450,556650,19,652.0,3387000000.0,0,0,0,18,0,1,0,0,18,1,0,0,0,0,0
4977,서울특별시,11,강북구,11305,314050,560050,7,83.0,451000000.0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0
4978,서울특별시,11,금천구,11545,303350,538850,6,129.0,677000000.0,0,2,3,1,0,0,0,1,5,0,0,0,0,0,0
4979,서울특별시,11,관악구,11620,308550,542050,18,283.0,1628000000.0,1,13,3,0,1,0,3,10,4,1,0,0,0,0,0
4980,서울특별시,11,관악구,11620,306150,541150,9,153.0,788000000.0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0
4981,서울특별시,11,중랑구,11260,318250,555250,8,138.0,600000000.0,0,7,1,0,0,0,0,7,1,0,0,0,0,0,0
4982,서울특별시,11,강동구,11740,324550,549950,5,82.0,568000000.0,0,4,1,0,0,0,0,3,2,0,0,0,0,0,0
4983,서울특별시,11,성동구,11200,317250,551350,9,70.0,252000000.0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0
4984,서울특별시,11,종로구,11110,308850,553950,11,155.0,1493000000.0,0,10,1,0,0,0,0,2,8,1,0,0,0,0,0
4985,서울특별시,11,양천구,11470,298250,547350,19,458.0,2296000000.0,0,4,15,0,0,0,0,2,17,0,0,0,0,0,0
4986,서울특별시,11,강북구,11305,313150,560250,8,124.0,869000000.0,0,8,0,0,0,0,0,2,6,0,0,0,0,0,0
4987,서울특별시,11,노원구,11350,318150,560250,16,652.0,7632000000.0,0,0,0,0,16,0,0,0,0,0,0,12,4,0,0
4988,서울특별시,11,강북구,11305,313750,560250,46,801.0,4217000000.0,0,40,6,0,0,0,0,33,13,0,0,0,0,0,0
4989,서울특별시,11,강남구,11680,316050,541850,27,497.0,6280000000.0,0,18,9,0,0,0,0,0,4,23,0,0,0,0,0
4990,서울특별시,11,강남구,11680,315850,542250,16,293.0,3451000000.0,0,16,0,0,0,0,0,0,6,10,0,0,0,0,0
4991,서울특별시,11,강남구,11680,315150,546850,18,736.0,6358000000.0,0,10,0,0,0,8,0,0,10,0,0,0,2,6,0
4992,서울특별시,11,강남구,11680,314150,546450,24,1174.0,15715000000.0,0,0,0,0,14,10,0,0,0,0,0,0,6,16,2
4993,서울특별시,11,강남구,11680,314250,545650,42,688.0,6464000000.0,6,24,11,0,1,0,0,8,24,9,0,1,0,0,0
4994,서울특별시,11,강북구,11305,313650,558350,18,201.0,1320000000.0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0
4995,서울특별시,11,강남구,11680,314450,545150,5,190.0,1860000000.0,0,0,1,2,2,0,0,0,1,0,2,0,2,0,0
4996,서울특별시,11,강남구,11680,315550,543950,43,901.0,10465000000.0,10,11,20,0,0,2,0,10,11,7,13,0,0,0,1
4997,서울특별시,11,강남구,11680,315950,547050,25,688.0,8636000000.0,0,0,21,0,4,0,0,0,0,7,14,3,1,0,0
