,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
752,성북구,1308, 안암로터리 버스정류장 앞,서울특별시 성북구 안암로 69,10,325964.2395028599,4161330.5330654443
753,성북구,1313, 정릉현대힐스테이트 1차 후문,서울특별시 성북구 정릉로27가길 28-2,10,324747.4601480616,4163649.3202287154
754,성북구,1314, 정릉꿈에그린1단지 201동 앞,서울특별시 성북구 아리랑로19길 20,10,324484.2441010444,4163565.083627857
755,성북구,1316, 고려사대부속중고 건너편 ,서울특별시 성북구 보국문로29길 23,20,323714.3254996055,4164116.729840247
756,성북구,1317, 정릉동 교통광장,서울특별시 성북구 솔샘로17길 8,10,324053.3255509852,4164721.4213864715
757,성북구,1318, 길음역 3번출구 뒤,서울특별시 성북구 동소문로 248,10,325642.25480245263,4163612.2359579895
758,성북구,1319, 종암사거리 분수대,서울특별시 성북구 종암로 147,10,326391.14063789253,4163591.847853583
759,성북구,1320, 종암 농협지점 앞,서울특별시 성북구 종암로 88,10,326534.98844763107,4163058.9842944685
760,성북구,1321, 국민은행 종암동지점 앞,서울특별시 성북구 종암로3길 37-2,15,326668.2185533388,4162503.1457435256
761,성북구,1322, 래미안라센트아파트 103동 앞,서울특별시 성북구 종암로3길 37-2,10,326909.6537363272,4163028.7261256524
762,성북구,1323, 월곡역 입구 육교 밑,서울특별시 성북구 월곡로 지하 107,10,326997.32837498875,4163289.4330559685
763,성북구,1325, 상월곡역 4번출구,서울특별시 성북구 화랑로 148,10,327674.5181009863,4163871.996526418
764,성북구,1326, 상월곡역 1번출구,서울특별시 성북구 화랑로 지하 157,10,327638.12967386673,4163901.6159172026
765,성북구,1327, 상월곡역 3번출구,서울특별시 성북구 화랑로 지하 157,10,327938.0332220638,4164036.807348664
766,성북구,1328, 월곡역 3번출구,서울특별시 성북구 월곡로 지하 107,10,327128.39009964187,4163530.252724004
767,성북구,1332, 석계역 5번출구 건너편,서울특별시 노원구 화랑로 지하 347-1,10,329312.67031577445,4164698.1748130787
768,성북구,1333, 석관초등학교 앞,서울특별시 성북구 돌곶이로22길 21,15,328750.1470099117,4164373.097698866
769,성북구,1334, 석관동주민센터 앞,서울특별시 성북구 화랑로 296,10,328889.2027357689,4164645.0809392217
770,성북구,1336, 성북3교 위,서울특별시 성북구 보문로 192,20,324662.7941933792,4162319.1974401823
771,성북구,1337, 돈암성당 옆,서울특별시 성북구 인촌로7길 120,10,324936.9478214123,4162216.9341746396
772,성북구,1338, 용문2교 옆,서울특별시 성북구 인촌로7길 24,15,325248.0829457307,4161823.7186644315
773,성북구,1339, 삼성전자서비스 성북센터,서울특별시 성북구 월계로 28,9,326429.4727459755,4164426.507503897
774,성북구,1340, 광운초등학교 앞,서울특별시 성북구 한천로 693,8,328241.5730461419,4165386.816055733
775,성북구,1342, 성북쉼터 앞,서울특별시 성북구 성북로21길 32,15,323246.57674574037,4162500.918951737
776,성북구,1343, 한성대7번출구 앞,서울특별시 성북구 동소문로 11,10,324072.67611336126,4162109.4560597013
777,성북구,1344, 아리랑시네센터 앞,서울특별시 성북구 아리랑로 82,10,324656.99268304254,4163322.529432325
778,성북구,1346, 길음8골어린이공원 옆,서울특별시 성북구 길음로13길 22,15,325255.2478378333,4164274.5774248387
779,성북구,1347, 길음래미안아파트817동 상가 앞,서울특별시 성북구 길음로 33,20,325361.38678317284,4164064.415415819
780,성북구,1348, 성북제일새마을금고 본점 앞,서울특별시 성북구 길음로 20,12,325466.9390841909,4163800.982273588
781,성북구,1349, 월계2교 버스정류장 앞,서울특별시 성북구 한천로101길 18,10,327933.5855509582,4165867.1091933814
782,성북구,1351, SK제삼주유소 앞,서울특별시 성북구 안암로 17,8,325534.5334686333,4160990.658044604
783,성북구,1352, e 편한세상 보문아파트 내,서울특별시 성북구 낙산길 255,8,324918.2702891297,4161495.6465394767
784,성북구,1353, 금호어울림센터힐 내,서울특별시 성북구 동소문로34길 73,8,325527.86955845694,4163364.3145578564
785,성북구,1357, 북한산보국문역,서울특별시 성북구 보국문로 91,20,324193.0818187884,4164640.5232445216
786,성북구,1358, 정릉도서관 앞,서울특별시 성북구 보국문로 7-10,10,324392.1302258796,4163827.912871959
