,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O
7987,서울특별시,11,노원구,11350,319050,558050,182.0,416.67,112.15,55.52,75.97,75.49,50.22,47.32
7988,서울특별시,11,노원구,11350,316650,558050,77.45,200.98,34.88,31.61,25.42,34.77,35.11,39.19
7989,서울특별시,11,노원구,11350,318250,562950,281.77,270.78,48.95,47.7,39.48,43.33,48.5,42.82
7990,서울특별시,11,노원구,11350,318850,563850,94.83,106.46,18.65,14.72,15.56,14.65,18.62,24.26
7991,서울특별시,11,노원구,11350,319350,564150,3.05,5.34,0.76,0.67,0.72,0.89,0.91,1.39
7992,서울특별시,11,노원구,11350,318550,562550,48.8,84.8,12.48,15.68,9.28,14.72,17.44,15.2
7993,서울특별시,11,노원구,11350,318150,560250,22.1,57.04,16.82,9.07,9.17,13.2,5.11,3.67
7994,서울특별시,11,노원구,11350,316550,563250,300.0,882.06,279.01,83.62,177.2,178.32,98.98,64.93
7995,서울특별시,11,노원구,11350,318750,562250,419.26,1240.33,313.59,158.17,143.45,276.85,180.92,167.35
7996,서울특별시,11,노원구,11350,318150,560450,319.0,999.77,179.31,158.8,102.09,156.84,204.66,198.07
7997,서울특별시,11,노원구,11350,317850,559850,240.0,738.49,261.92,44.99,82.27,214.15,70.54,64.62
7998,서울특별시,11,노원구,11350,317150,561250,70.0,207.99,62.69,18.01,39.23,45.2,24.06,18.8
7999,서울특별시,11,노원구,11350,317050,561450,158.0,459.18,116.99,49.2,115.22,68.66,60.22,48.89
8000,서울특별시,11,노원구,11350,316350,559750,134.0,410.31,85.1,37.99,73.27,79.78,59.17,75.0
8001,서울특별시,11,노원구,11350,318250,560050,270.0,843.84,285.28,61.21,67.96,256.04,100.47,72.88
8002,서울특별시,11,구로구,11530,301950,542950,279.07,463.22,89.38,55.08,97.43,94.25,68.12,58.96
8003,서울특별시,11,구로구,11530,297850,545150,52.23,152.27,38.34,20.21,25.75,28.6,21.38,17.99
8004,서울특별시,11,구로구,11530,301450,546250,8.37,15.96,3.63,2.15,2.62,2.82,2.78,1.96
8005,서울특별시,11,구로구,11530,301650,543250,202.76,569.24,101.34,88.94,108.35,76.08,100.26,94.27
8006,서울특별시,11,구로구,11530,301650,543350,262.37,816.89,152.13,128.42,167.45,115.13,130.32,123.44
8007,서울특별시,11,구로구,11530,297250,544550,154.62,390.65,85.07,54.43,75.57,56.44,50.19,68.95
8008,서울특별시,11,구로구,11530,301650,543950,30.8,55.4,13.35,6.93,10.87,10.01,5.43,8.81
8009,서울특별시,11,구로구,11530,301750,544750,173.88,232.19,44.05,32.97,47.31,36.61,26.98,44.27
8010,서울특별시,11,구로구,11530,298150,545350,91.37,139.5,32.64,17.51,30.34,23.3,17.61,18.1
8011,서울특별시,11,구로구,11530,299050,545050,104.13,194.85,43.35,23.22,35.43,31.55,24.52,36.78
8012,서울특별시,11,구로구,11530,298850,543150,152.92,395.88,86.59,49.75,74.46,65.9,58.92,60.26
8013,서울특별시,11,구로구,11530,300950,545050,1.67,4.79,0.27,1.8,1.47,0.39,0.54,0.32
8014,서울특별시,11,구로구,11530,298950,543750,155.76,439.44,95.25,60.77,77.83,70.83,75.43,59.33
8015,서울특별시,11,구로구,11530,298150,544550,77.17,222.66,35.95,36.69,35.8,32.23,37.18,44.81
8016,서울특별시,11,구로구,11530,300850,545250,13.38,10.66,0.58,3.98,3.28,0.9,1.24,0.68
8017,서울특별시,11,구로구,11530,301550,545850,358.01,1117.63,221.52,182.05,149.06,189.1,241.9,134.0
8018,서울특별시,11,구로구,11530,303050,542850,11.1,5.34,0.0,1.84,1.33,0.76,0.84,0.57
8019,서울특별시,11,구로구,11530,302450,543650,181.02,561.29,112.33,73.05,91.95,85.68,95.32,102.96
8020,서울특별시,11,구로구,11530,301650,542850,43.52,57.9,8.17,7.45,10.12,9.73,9.07,13.36
8021,서울특별시,11,구로구,11530,302050,543250,526.0,1637.33,326.29,266.98,295.97,260.53,210.25,277.31
8022,서울특별시,11,은평구,11380,305750,556050,83.96,131.08,27.38,12.97,30.78,18.36,18.85,22.74
8023,서울특별시,11,은평구,11380,305050,558050,78.65,129.28,20.0,19.57,24.46,19.11,18.79,27.35
8024,서울특별시,11,은평구,11380,305650,558250,152.84,237.32,47.44,32.68,34.85,40.55,39.32,42.48
8025,서울특별시,11,은평구,11380,304350,559050,186.2,447.65,94.89,60.4,98.9,68.19,53.82,71.45
8026,서울특별시,11,은평구,11380,304150,558650,170.76,507.55,117.77,66.14,75.95,99.22,72.58,75.89
8027,서울특별시,11,은평구,11380,304850,555150,252.32,290.22,50.74,37.4,48.57,49.23,46.38,57.9
8028,서울특별시,11,은평구,11380,303650,556250,72.52,167.16,35.97,24.39,23.05,29.54,28.39,25.82
