,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,PR_09,PR_10,PR_11
11464,서울특별시,11,관악구,11620,305850,541550,5610000.0,5800000.0,5830000.0
11465,서울특별시,11,관악구,11620,305950,541050,2460000.0,2550000.0,2580000.0
11466,서울특별시,11,관악구,11620,304250,541850,1860000.0,1930000.0,1970000.0
11467,서울특별시,11,관악구,11620,304650,542750,2616666.66667,2686666.66667,2730000.0
11468,서울특별시,11,관악구,11620,305250,542850,4270000.0,4355000.0,4380000.0
11469,서울특별시,11,관악구,11620,305250,542750,2155000.0,2230000.0,2265000.0
11470,서울특별시,11,관악구,11620,305250,542450,2740000.0,2840000.0,2870000.0
11471,서울특별시,11,관악구,11620,305550,542850,10200000.0,10550000.0,10600000.0
11472,서울특별시,11,관악구,11620,303650,543050,2170000.0,2250000.0,2290000.0
11473,서울특별시,11,관악구,11620,303050,542650,2420000.0,2500000.0,2550000.0
11474,서울특별시,11,관악구,11620,304250,542250,5360000.0,5500000.0,5530000.0
11475,서울특별시,11,관악구,11620,305150,540450,3110000.0,3220000.0,3260000.0
11476,서울특별시,11,관악구,11620,307050,541550,114000.0,117000.0,118000.0
11477,서울특별시,11,관악구,11620,305050,542350,129000.0,133000.0,134000.0
11478,서울특별시,11,광진구,11215,321550,550750,3930000.0,4050000.0,4090000.0
11479,서울특별시,11,광진구,11215,321550,550250,4450000.0,4600000.0,4650000.0
11480,서울특별시,11,광진구,11215,321450,549950,3150000.0,3400000.0,3450000.0
11481,서울특별시,11,광진구,11215,320950,549650,3750000.0,3925000.0,3975000.0
11482,서울특별시,11,광진구,11215,320950,549850,3450000.0,3700000.0,3740000.0
11483,서울특별시,11,광진구,11215,321350,549650,930000.0,1000000.0,1010000.0
11484,서울특별시,11,광진구,11215,320850,550250,281000.0,300000.0,302000.0
11485,서울특별시,11,광진구,11215,320250,550550,1670000.0,1775000.0,1815000.0
11486,서울특별시,11,광진구,11215,320150,550250,1670000.0,1750000.0,1790000.0
11487,서울특별시,11,광진구,11215,319950,549950,1900000.0,2070000.0,2110000.0
11488,서울특별시,11,광진구,11215,319750,549850,2600000.0,2750000.0,2790000.0
11489,서울특별시,11,광진구,11215,319550,549750,2773333.33333,2933333.33333,2973333.33333
11490,서울특별시,11,광진구,11215,319650,549850,3300000.0,3475000.0,3515000.0
11491,서울특별시,11,광진구,11215,319650,550150,2050000.0,2160000.0,2190000.0
11492,서울특별시,11,광진구,11215,319750,550050,4700000.0,5000000.0,5040000.0
11493,서울특별시,11,광진구,11215,319950,549650,1520000.0,1650000.0,1690000.0
11494,서울특별시,11,광진구,11215,320150,549350,4300000.0,4700000.0,4740000.0
11495,서울특별시,11,광진구,11215,319850,549150,2050000.0,2180000.0,2220000.0
11496,서울특별시,11,광진구,11215,320050,548850,3200000.0,3375000.0,3415000.0
11497,서울특별시,11,광진구,11215,319750,548950,3425000.0,3675000.0,3725000.0
11498,서울특별시,11,광진구,11215,319550,549450,2100000.0,2225000.0,2265000.0
11499,서울특별시,11,광진구,11215,319450,549350,3150000.0,3300000.0,3330000.0
11500,서울특별시,11,광진구,11215,319550,549050,2215000.0,2325000.0,2365000.0
11501,서울특별시,11,광진구,11215,319750,548850,5600000.0,6100000.0,6210000.0
11502,서울특별시,11,광진구,11215,319450,548850,5300000.0,5600000.0,5700000.0
11503,서울특별시,11,광진구,11215,319350,548750,3950000.0,4275000.0,4355000.0
11504,서울특별시,11,광진구,11215,319450,549150,2225000.0,2365000.0,2405000.0
11505,서울특별시,11,광진구,11215,319250,549150,3625000.0,3825000.0,3865000.0
11506,서울특별시,11,광진구,11215,320050,548350,4940000.0,5050000.0,5050000.0
