,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS
211,서울특별시,11,강남구,11680,1,315150,545650
212,서울특별시,11,강남구,11680,1,315950,545350
213,서울특별시,11,강동구,11740,1,323950,548450
214,서울특별시,11,강남구,11680,2,317550,545450
215,서울특별시,11,강남구,11680,2,316050,545150
216,서울특별시,11,양천구,11470,1,300450,547850
217,서울특별시,11,용산구,11170,1,312350,548750
218,서울특별시,11,중구,11140,3,309950,551150
219,서울특별시,11,강남구,11680,1,314350,547050
220,서울특별시,11,강남구,11680,5,316550,545250
221,서울특별시,11,송파구,11710,1,323250,545350
222,서울특별시,11,금천구,11545,1,301850,542550
223,서울특별시,11,영등포구,11560,1,304850,547950
224,서울특별시,11,영등포구,11560,4,305450,547150
225,서울특별시,11,강남구,11680,1,313450,546950
226,서울특별시,11,서대문구,11410,2,308850,551850
227,서울특별시,11,서초구,11650,1,312150,543050
228,서울특별시,11,중구,11140,1,310150,552050
229,서울특별시,11,성동구,11200,1,317250,549450
230,서울특별시,11,금천구,11545,1,300850,542850
231,서울특별시,11,영등포구,11560,1,305250,547050
232,서울특별시,11,중구,11140,1,311250,551450
233,서울특별시,11,종로구,11110,1,309750,557150
234,서울특별시,11,금천구,11545,1,301050,542950
235,서울특별시,11,노원구,11350,1,318050,559950
236,서울특별시,11,서초구,11650,1,312850,543750
237,서울특별시,11,서초구,11650,1,312650,543550
238,서울특별시,11,강남구,11680,1,314750,546450
239,서울특별시,11,구로구,11530,2,302150,543250
240,서울특별시,11,영등포구,11560,2,305150,547450
241,서울특별시,11,종로구,11110,1,309550,553050
242,서울특별시,11,강남구,11680,2,317550,545050
243,서울특별시,11,강남구,11680,1,315650,544850
244,서울특별시,11,강남구,11680,1,314550,546950
245,서울특별시,11,강남구,11680,1,316750,545550
246,서울특별시,11,강남구,11680,1,316950,546850
247,서울특별시,11,영등포구,11560,3,305150,547950
248,서울특별시,11,송파구,11710,1,322350,545350
249,서울특별시,11,금천구,11545,1,300750,542750
250,서울특별시,11,양천구,11470,3,300650,548050
251,서울특별시,11,금천구,11545,1,301950,542150
252,서울특별시,11,강남구,11680,1,314650,545750
