,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
23016,서울특별시,11,마포구,11440,305350,550450,11.0,30.5,5
23017,서울특별시,11,금천구,11545,300850,542350,13.28,21.42,3
23018,서울특별시,11,광진구,11215,319050,549250,121.04,221.13,4
23019,서울특별시,11,서초구,11650,314650,542250,8.0,25.66,8
23020,서울특별시,11,강동구,11740,323850,549350,470.71,356.52,3
23021,서울특별시,11,서대문구,11410,305550,552850,108.35,347.32,4
23022,서울특별시,11,도봉구,11320,315450,559450,141.97,241.74,2
23023,서울특별시,11,중랑구,11260,319350,555950,69.36,255.95,4
23024,서울특별시,11,종로구,11110,310150,557450,1.66,4.22,7
23025,서울특별시,11,동대문구,11230,316850,554550,58.08,143.45,4
23026,서울특별시,11,강북구,11305,314450,559950,244.5,313.67,3
23027,서울특별시,11,노원구,11350,318750,563450,42.57,64.11,2
23028,서울특별시,11,동작구,11590,307750,545850,171.84,652.34,4
23029,서울특별시,11,관악구,11620,309550,542050,104.24,165.82,4
23030,서울특별시,11,노원구,11350,318050,557750,274.0,835.64,6
23031,서울특별시,11,강동구,11740,324550,550650,96.0,389.72,6
23032,서울특별시,11,성북구,11290,314350,554550,127.7,104.49,4
23033,서울특별시,11,성북구,11290,313050,554050,129.18,274.58,2
23034,서울특별시,11,강남구,11680,315650,544050,155.0,234.25,8
23035,서울특별시,11,중랑구,11260,318450,556150,138.9,231.72,3
23036,서울특별시,11,동대문구,11230,314350,552850,18.02,21.41,2
23037,서울특별시,11,성북구,11290,313650,556450,231.0,793.29,4
23038,서울특별시,11,강동구,11740,326950,551050,112.3,77.41,5
23039,서울특별시,11,종로구,11110,313150,552450,64.4,156.06,3
23040,서울특별시,11,송파구,11710,322550,543750,16.72,26.24,5
23041,서울특별시,11,중랑구,11260,319450,553050,209.8,271.93,2
23042,서울특별시,11,양천구,11470,297850,546950,154.59,473.59,4
23043,서울특별시,11,양천구,11470,300750,546650,98.0,336.7,6
23044,서울특별시,11,양천구,11470,299550,546650,20.0,72.18,8
23045,서울특별시,11,송파구,11710,324850,544550,103.07,262.52,5
23046,서울특별시,11,중랑구,11260,319050,556350,168.66,237.0,3
23047,서울특별시,11,은평구,11380,303850,557550,89.4,226.69,4
23048,서울특별시,11,영등포구,11560,302250,546350,40.2,137.4,3
23049,서울특별시,11,구로구,11530,301250,543950,388.6,388.03,2
23050,서울특별시,11,마포구,11440,301950,553250,77.0,237.43,6
23051,서울특별시,11,광진구,11215,319050,547950,221.83,390.16,4
23052,서울특별시,11,구로구,11530,297450,543450,52.81,114.09,2
23053,서울특별시,11,용산구,11170,312050,549050,36.75,74.3,4
23054,서울특별시,11,은평구,11380,303750,556850,194.4,608.47,4
23055,서울특별시,11,서초구,11650,314550,543250,88.85,123.58,7
23056,서울특별시,11,관악구,11620,307850,543350,26.29,49.23,3
23057,서울특별시,11,동대문구,11230,317650,552550,109.92,113.33,2
23058,서울특별시,11,구로구,11530,302150,545150,35.0,109.06,5
23059,서울특별시,11,동대문구,11230,317650,555650,234.02,437.54,2
23060,서울특별시,11,마포구,11440,303150,551650,118.0,304.71,4
23061,서울특별시,11,송파구,11710,321250,545850,7.22,5.31,6
23062,서울특별시,11,용산구,11170,311850,548550,71.29,92.08,4
23063,서울특별시,11,강북구,11305,313250,558850,175.61,553.11,3
